Hạng,Bot,Elo
#1,Vinh_VariantsBot,2098
#2,Viet-AI,2060
#3,Hien-Vinh_Bot2,2054
#4,Viet_BOT,1937
#5,Viet-BOT,1917
#6,TungJohn,1714
